chart_date,show_id,show_name,in_corpus,charted,rank,publisher
20260820,1192761536,Pod Save America,1,1,1,Pod Save America
20260820,1510240831,The MeidasTouch Podcast,1,1,4,MeidasTouch Network
20260820,1794450472,Bulwark Takes,1,1,9,The Bulwark
20260820,1447684472,The Bulwark Podcast,1,1,2,The Bulwark
20260820,1730358737,Letters from an American,1,1,8,Heather Cox Richardson
20260820,1750591415,Candace,1,1,3,Candace Owens
20260820,1617887885,The President's Daily Brief,1,1,11,The First TV
20260820,1050430296,The New Yorker Radio Hour,1,1,27,WNYC Studios and The New Yorker
20260820,1057255460,The NPR Politics Podcast,1,1,7,NPR
20260820,1865794721,Real Baron Podcast,1,1,25,Baron Coleman
20260820,1495601614,Verdict with Ted Cruz,1,1,26,iHeartPodcasts
20260820,1645614328,Fast Politics with Molly Jong-Fast,1,1,24,iHeartPodcasts
20260820,1640311112,The Necessary Conversation,1,1,36,The Necessary Conversation
20260820,1647085571,The Next Level,1,1,15,The Bulwark
20260820,1258635512,Radio Atlantic,1,1,30,The Atlantic
20260820,268213039,The Political Scene | The New Yorker,1,1,20,The New Yorker
20260820,1535384390,Ruthless Podcast,1,1,12,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook"
20260820,1408796715,Runaway Country with Alex Wagner,1,1,40,Runaway Country with Alex Wagner
20260820,1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,1,1,13,Vox Media Podcast Network
20260820,1570045623,Breaking Points with Krystal and Saagar,1,1,6,iHeartPodcasts
20260820,1317481380,UnJustified,1,1,119,MSW Media
20260820,73330715,On the Media,1,1,33,WNYC Studios
20260820,1200016351,Pod Save the World,1,1,5,Pod Save the World
20260820,1692806415,The Briefing with Jen Psaki,1,1,14,"MS NOW, Jen Psaki"
20260820,1551206847,#SistersInLaw,1,1,45,Politicon
20260820,1485351658,Bannon`s War Room,1,1,21,WarRoom.org
20260820,1507444393,X22 Report,1,1,32,X22 Report
20260820,1314170606,All In with Chris Hayes,1,1,16,"MS NOW, Chris Hayes"
20260820,1795032531,The Jim Acosta Show,1,1,50,Jim Acosta
20260820,1367201919,Deadline: White House,1,1,10,"Nicolle Wallace, MS NOW"
20260820,75462585,NBC Nightly News with Tom Llamas,1,1,43,NBC News
20260820,1674095262,The Wright Report,1,1,34,Bryan Dean Wright
20260820,1456045551,Talking Feds,1,1,56,Harry Litman
20260820,1876034889,Breaking News from Pod Save America,1,1,48,Crooked Media
20260820,1551582052,The Lincoln Project,1,1,69,The Lincoln Project
20260820,158004641,Political Gabfest,1,1,99,Slate Podcasts
20260820,1303660358,The Fox News Rundown,1,1,51,FOX News Podcasts
20260820,1743030473,The Rest Is Politics: US,1,1,29,Goalhanger
20260820,1490993194,Advisory Opinions,1,1,35,The Dispatch
20260820,1586423406,The Focus Group Podcast,1,1,114,The Bulwark
20260820,91959525,This Week with George Stephanopoulos,1,1,153,ABC News
