show_id,chart_rank,show_name,show_label,publisher,excluded_reason
1192761536,1,Pod Save America,Pod Save America,Pod Save America,
1510240831,2,The MeidasTouch Podcast,The MeidasTouch Podcast,MeidasTouch Network,
1794450472,3,Bulwark Takes,Bulwark Takes,The Bulwark,
1447684472,4,The Bulwark Podcast,The Bulwark Podcast,The Bulwark,
1730358737,5,Letters from an American,Letters from an American,Heather Cox Richardson,
1750591415,6,Candace,Candace,Candace Owens,
1617887885,7,The President's Daily Brief,The President's Daily Brief,The First TV,
1050430296,8,The New Yorker Radio Hour,The New Yorker Radio Hour,WNYC Studios and The New Yorker,
1057255460,9,The NPR Politics Podcast,The NPR Politics Podcast,NPR,
1865794721,10,Real Baron Podcast,Real Baron Podcast,Baron Coleman,
1495601614,11,Verdict with Ted Cruz,Verdict with Ted Cruz,Premiere Networks,
1645614328,12,Fast Politics with Molly Jong-Fast,Fast Politics with Molly Jong-Fast,iHeartPodcasts,
1640311112,13,The Necessary Conversation,The Necessary Conversation,The Necessary Conversation,
1647085571,15,The Next Level,The Next Level,The Bulwark,
1258635512,16,Radio Atlantic,Radio Atlantic,The Atlantic,
268213039,17,The Political Scene | The New Yorker,The Political Scene | The New Yorker,The New Yorker,
1535384390,18,Ruthless Podcast,Ruthless Podcast,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",
1408796715,19,Runaway Country with Alex Wagner,Runaway Country with Alex Wagner,Runaway Country with Alex Wagner,
1774505095,20,Raging Moderates with Scott Galloway and Jessica Tarlov,Raging Moderates with Scott Galloway and Jessica Tarlov,Vox Media Podcast Network,
1570045623,21,Breaking Points with Krystal and Saagar,Breaking Points with Krystal and Saagar,iHeartPodcasts,
1317481380,22,UnJustified,UnJustified,MSW Media,
73330715,23,On the Media,On the Media,WNYC Studios,
1200016351,24,Pod Save the World,Pod Save the World,Pod Save the World,
1692806415,25,The Briefing with Jen Psaki,The Briefing with Jen Psaki,"MS NOW, Jen Psaki",
1551206847,26,#SistersInLaw,#SistersInLaw,Politicon,
1485351658,27,Bannon`s War Room,Bannon`s War Room,WarRoom.org,
1507444393,28,X22 Report,X22 Report,X22 Report,
1314170606,29,All In with Chris Hayes,All In with Chris Hayes,"MS NOW, Chris Hayes",
1795032531,30,The Jim Acosta Show,The Jim Acosta Show,Jim Acosta,
1367201919,31,Deadline: White House,Deadline: White House,"Nicolle Wallace, MS NOW",
75462585,32,NBC Nightly News with Tom Llamas,NBC Nightly News with Tom Llamas,NBC News,
1674095262,33,The Wright Report,The Wright Report,Bryan Dean Wright,
1456045551,34,Talking Feds,Talking Feds,Harry Litman,
1876034889,35,Breaking News from Pod Save America,Breaking News from Pod Save America,Crooked Media,
1551582052,36,The Lincoln Project,The Lincoln Project,The Lincoln Project,
158004641,37,Political Gabfest,Political Gabfest,Slate Podcasts,
1303660358,38,The Fox News Rundown,The Fox News Rundown,FOX News Podcasts,
1743030473,39,The Rest Is Politics: US,The Rest Is Politics: US,Goalhanger,
1490993194,40,Advisory Opinions,Advisory Opinions,The Dispatch,
1586423406,41,The Focus Group Podcast,The Focus Group Podcast,The Bulwark,
91959525,42,This Week with George Stephanopoulos,This Week with George Stephanopoulos,ABC News,
1529346075,43,Impolitic with John Heilemann,Impolitic with John Heilemann,Audacy | Puck,
1788738240,44,It’s That Part,It’s That Part,Jesse Lee Hammonds,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1515399733,46,No Lie with Brian Tyler Cohen,No Lie with Brian Tyler Cohen,Brian Tyler Cohen,
1169056746,47,The Playbook Podcast,The Playbook Podcast,POLITICO,
1495251160,48,John Solomon Reports,John Solomon Reports,John Solomon,
1549272440,50,The Daily Punch,The Daily Punch,Punchbowl News,
1291144720,51,The Remnant with Jonah Goldberg,The Remnant with Jonah Goldberg,The Dispatch,
1725387804,52,The Illegal News with Sarah Longwell,The Illegal News with Sarah Longwell,The Bulwark,
1810218232,53,Next Up with Mark Halperin,Next Up with Mark Halperin,MK Media,
78911087,54,Face the Nation with Margaret Brennan,Face the Nation with Margaret Brennan,CBS News,
597919007,55,The Young Turks,The Young Turks,TYT Network,
1314368109,56,The 11th Hour with Ali Velshi,The 11th Hour with Ali Velshi,"MS NOW, Ali Velshi",
1536169792,57,Talkin‘ Politics & Religion Without Killin‘ Each Other,Talkin‘ Politics & Religion Without Killin‘ Each Other,"Scan Media, LLC",
929121341,58,Louder with Crowder,Louder with Crowder,Louder with Crowder,
1386375601,60,The Ben Ferguson Podcast,The Ben Ferguson Podcast,iHeartPodcasts,
1818418128,61,Pod Force One,Pod Force One,New York Post,
402050558,62,The David Pakman Show,The David Pakman Show,David Pakman,
219258773,63,Brian Kilmeade Show,Brian Kilmeade Show,FOX News Podcasts,
1265845136,64,Stay Tuned with Preet,Stay Tuned with Preet,Preet Bharara,
1474001390,65,TRUE ANON TRUTH FEED,TRUE ANON TRUTH FEED,TrueAnon,
1506127536,66,Making the Argument with Nick Freitas,Making the Argument with Nick Freitas,Nick Freitas,
1681586867,67,The Warning with Steve Schmidt,The Warning with Steve Schmidt,iHeartPodcasts,
1873028393,68,Politics Chat,Politics Chat,Heather Cox Richardson,
1679657705,69,Main Justice,Main Justice,"MS NOW, Andrew Weissmann, Mary McCord",
1138657182,70,Liberty Lockdown,Liberty Lockdown,Clint Russell,
402306412,71,The Majority Report with Sam Seder,The Majority Report with Sam Seder,Sam Seder,
1364113251,73,The Beat with Ari Melber,The Beat with Ari Melber,"Ari Melber, MS NOW",
354628391,75,Renegade Talk Radio,Renegade Talk Radio,Renegade Talk Radio,
1595408601,76,The PoliticsGirl Podcast,The PoliticsGirl Podcast,"Meidas Media Network, Leigh McGowan",
1467297559,77,Hacks On Tap,Hacks On Tap,Vox Media,
1728152109,78,THE DAILY BLAST with Greg Sargent,THE DAILY BLAST with Greg Sargent,Greg Sargent,
1484862164,81,Politics War Room with James Carville & Al Hunt,Politics War Room with James Carville & Al Hunt,Politicon,
1452065072,82,Newt's World,Newt's World,Gingrich 360,
1790957194,83,The 47 Morning Update with Ben Ferguson,The 47 Morning Update with Ben Ferguson,Premiere Networks,
